id,name,category,latitude,longitude,address,district,island
serp-ChIJaTTiMq2HJY8R4MoyWLZQufU-rv85a5w03,"Captain Marvins Watersports Waterfront centre",water_sports,19.288462,-81.375062,"28 Seafarers Wy, George Town KY1-1302, Cayman Islands",George Town,Grand Cayman
serp-ChIJqUXsZKWHJY8RqqzSYUtz2uo-51r35ydci,"Family Time Watersports.",water_sports,19.35708,-81.376373,"Dock D, Cayman Islands Yacht Club Yacht Drive Grand Cayman, KY1-9006, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJleCXe_r1JY8R5X1Gxkud6ec-5yuh7jrex,"Silver Thatch Watersports",water_sports,19.324373,-81.17663,"Kaibo marina, Grand Cayman KY1-1700, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJUfcUhBJiL48RA8YaEgU7vaY-uejqw9soh,"Red Sail Sports- Rum Point",water_sports,19.3728,-81.2714,"Cayman Kai, 46 Sand Point Rd, Rum Point KY1-1206, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJAUK59EqHJY8RvWO482OUi5I-2hlrjw23i,"Grand Time Water Sports Cayman Islands",water_sports,19.375787,-81.409856,"Dock B29, 164 Yacht Dr, Cayman Islands Cayman Islands Yacht Club, West Bay, Cayman Islands",West Bay,Grand Cayman
serp-ChIJZ3iGk2aHJY8RVWyQCZ2aCWE-18xoqvrj0,"Captain Marvins Watersports",water_sports,19.33849,-81.380074,"Grand Cayman, Cayman Falls Shopping 1114B units 11, 12 W Bay Rd, KY1-1302, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJWbuAAnSHJY8R26Npmd47n-E-g2y1cepw3,"Caymanian Experience Jetski Rental",water_sports,19.342063,-81.39134,"Seven Mile Beach, Cayman Islands",Seven Mile Beach,Grand Cayman
serp-ChIJg4Puo8yHJY8RQf2QWfej2yA-vjmj3bw6h,"Frank's Water Sports",water_sports,19.310847,-81.18386,"Safehaven Marina Grand Cayman KY1, 1108, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJaxEV74CHJY8R-Zp3fNEldSU-hi9led4n6,"Cayman Yacht Charters",boat_charter,19.357086,-81.377525,"Dock B - Slip 50 Cayman Islands Yacht Club Yacht Drive Grand Cayman KY1, 1208, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJH50XR6yHJY8RfruPl3EQgqY-8hlab12kp,"Crazy Crab - Private Boat Charters",boat_charter,19.322628,-81.236075,"Camana Bay Harbour, 10 Market St, KY1-1401, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJzXrpQayHJY8RUpdcTFLu4zI-hmsqbe4j4,"Cayman Luxury Charters",boat_charter,19.306269,-81.094461,"62 Forum Ln, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJqdRN84KHJY8RLWISfURem-k-7lq9t7yum,"Island Breeze Charters Cayman",boat_charter,19.329847,-81.171222,"Yacht Club, 164 Yacht Dr, KY1-1303, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJyXalv_OHJY8Ror74di9f26c-hls2gf5th,"Cayman Private Charters",boat_charter,19.376413,-81.381327,"Yacht Dr, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJfzcOqS2HJY8RAwhOJUquO_w-bzv6p0owm,"Cobalt Custom Charters",boat_charter,19.320846,-81.239321,"Out front of Karoo Camana Bay, KY1-9006, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJsStF8YGHJY8R5mlNKHqd4IA-st2h3vebf,"Sea Cayman Boat Charters",boat_charter,19.298788,-81.146622,"Yacht Club, Cayman Islands, Dock B, Slip 39, Yacht Dr, KY1-9006, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJKZrMuvOHJY8Ro4m1LWpfCPk-sje8uq93v,"Y-Knot Charters - Cayman Islands",boat_charter,19.284911,-81.249376,"164 Yacht Drive Dock C, Cayman Islands Yacht Club, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJSaiacIGHJY8RvAruO9l0ECM-lf34npequ,"Grand Cayman Private Boat Charters and Tours - All Aboard Charters",boat_charter,19.320211,-81.243817,"164 Yacht Drive Grand Cayman KY1, 1104, KY1-1104, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJxSYPbF-GJY8RhT2_ByGgAg4-6rk09rjf4,"Reelistik Charters - Cayman Islands Fishing, Snorkeling and Private Charters",boat_charter,19.285034,-81.374499,"Whitehall Bay, N Church St, George Town, Cayman Islands",George Town,Grand Cayman
serp-ChIJm9iX2U6GJY8RKeSFwwHicjo-lghcea5vw,"Cayman Islands Boat Rentals",boat_charter,19.28575,-81.374903,"62 Lincoln Dr, George Town KY1-1009, Cayman Islands",George Town,Grand Cayman
serp-ChIJz_N_rh6HJY8RpOjHtrTCxFU-xznpcwu2p,"Cayman Kind Watersports - Private Boat Charters",boat_charter,19.316789,-81.241202,"Camana Bay Harbour, 10 Market St, KY1-1401, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJT2NGKsWHJY8RRjPTQuxJcdQ-v8soaur3c,"Black Pearl Private Charters",boat_charter,19.282934,-81.345542,"Yacht club drive, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJgfJhlbaHJY8R8xPfd5kCYIE-cgqd0n46b,"boating.ky (VIP Watersports Ltd)",boat_charter,19.322114,-81.236082,"Pier B, Slip 22 Cayman Islands Yacht Club BOX 326 Grand Cayman KY1, 9006, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJl-OYHa6HJY8RzBZP9Z43-mM-8qa0xmhul,"Nick's Private Charters",boat_charter,19.351827,-81.213695,"Yacht Drive Cayman Islands Yacht Club dock A5 Grand Cayman, KY1-1103, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJm5LmGO2HJY8RAHbUqiBByFg-fsfs4c4gd,"Easy Does It Charters",boat_charter,19.298731,-81.135953,"Grand Cayman, 164 Yacht Dr, KY1-1302, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJKS_HFYSHJY8RlWQxnVjf_yo-s57v0m4gn,"Six Senses Cayman Adventures",activity,19.329847,-81.171222,"Yacht Dr, Cayman Islands",Grand Cayman,Grand Cayman
